Name,Ticker,Weight,Sector
Royal Caribbean Cruises Ltd.,RCL,0.062351,Consumer Discretionary
SL Green Realty Corp.,SLG,0.06225,Financials
Motorola Solutions Inc.,MSI,0.06212,Information Technology
Pentair plc,PNR,0.061988,Industrials
McCormick & Company Incorporated,MKC,0.061826,Consumer Staples
L-3 Communications Holdings Inc.,LLL,0.061701,Industrials
Chipotle Mexican Grill Inc.,CMG,0.061228,Consumer Discretionary
DaVita HealthCare Partners Inc.,DVA,0.061124,Health Care
Federal Realty Investment Trust,FRT,0.060951,Financials
Global Payments Inc.,GPN,0.060791,Information Technology
Mattel Inc.,MAT,0.06055,Consumer Discretionary
CarMax Inc.,KMX,0.060231,Consumer Discretionary
Tractor Supply Company,TSCO,0.060189,Consumer Discretionary
Dover Corporation,DOV,0.059993,Industrials
Universal Health Services Inc. Class B,UHS,0.059918,Health Care
Twenty-First Century Fox Inc. Class B,FOX,0.059602,Consumer Discretionary
Harris Corporation,HRS,0.059478,Information Technology
Cincinnati Financial Corporation,CINF,0.059304,Financials
Cabot Oil & Gas Corporation,COG,0.059166,Energy
WestRock Co.,WRK,0.058686,Materials
AMETEK Inc.,AME,0.058647,Industrials
Coach Inc.,COH,0.058337,Consumer Discretionary
Campbell Soup Company,CPB,0.058137,Consumer Staples
Rockwell Collins Inc.,COL,0.058094,Industrials
Loews Corporation,L,0.057813,Financials
Lincoln National Corporation,LNC,0.057337,Financials
Macerich Company,MAC,0.057228,Financials
KLA-Tencor Corporation,KLAC,0.05711,Information Technology
International Flavors & Fragrances Inc.,IFF,0.056858,Materials
LKQ Corporation,LKQ,0.056748,Consumer Discretionary
D.R. Horton Inc.,DHI,0.055888,Consumer Discretionary
Textron Inc.,TXT,0.055872,Industrials
Macy's Inc,M,0.055576,Consumer Discretionary
Kansas City Southern,KSU,0.055309,Industrials
Western Union Company,WU,0.055282,Information Technology
Extra Space Storage Inc.,EXR,0.055262,Financials
SCANA Corporation,SCG,0.054908,Utilities
CA Inc.,CA,0.053647,Information Technology
Hanesbrands Inc.,HBI,0.052831,Consumer Discretionary
UDR Inc.,UDR,0.052401,Financials
Hormel Foods Corporation,HRL,0.052204,Consumer Staples
Brown-Forman Corporation Class B,BF-B,0.052133,Consumer Staples
C.H. Robinson Worldwide Inc.,CHRW,0.052126,Industrials
Whole Foods Market Inc.,WFM,0.052005,Consumer Staples
Mosaic Company,MOS,0.05185,Materials
Harley-Davidson Inc.,HOG,0.051663,Consumer Discretionary
Fortune Brands Home & Security Inc.,FBHS,0.051606,Industrials
CenterPoint Energy Inc.,CNP,0.051425,Utilities
Eastman Chemical Company,EMN,0.051085,Materials
XL Group Ltd,XL,0.050699,Financials
Hologic Inc.,HOLX,0.050081,Health Care
Best Buy Co. Inc.,BBY,0.050071,Consumer Discretionary
ONEOK Inc.,OKE,0.049832,Energy
Xerox Corporation,XRX,0.049618,Information Technology
Cintas Corporation,CTAS,0.049281,Industrials
Expeditors International of Washington Inc.,EXPD,0.049192,Industrials
Seagate Technology PLC,STX,0.049019,Information Technology
Sealed Air Corporation,SEE,0.048994,Materials
Hasbro Inc.,HAS,0.048611,Consumer Discretionary
Albemarle Corporation,ALB,0.048588,Materials
Akamai Technologies Inc.,AKAM,0.048297,Information Technology
